submission_id;question_id;module_id;teacher;option_id;answer_value
41;1;;;1;
42;1;;;1;
43;1;;;1;
44;1;;;3;
45;1;;;6;
46;1;;;6;
45;2;;;10;
46;2;;;7;
46;2;;;10;
46;2;;;13;
45;3;;;;pas assez dasso
46;3;;;;nullll
45;4;;;;La vie associative permet de rencontrer d’autres étudiants et de créer une bonne ambiance sur le campus.
46;4;;;;L’ambiance entre les étudiants reste conviviale et certains espaces du campus sont agréables.
42;5;;;;L’ambiance sur le campus est agréable et les échanges entre étudiants sont faciles.
44;5;;;;Très belle école
42;6;;;14;
43;6;;;14;
44;6;;;16;
45;6;;;19;
41;6;;;14;
46;6;;;19;
45;7;;;21;
46;7;;;20;
46;7;;;22;
46;7;;;23;
45;8;;;;Le module manque de clarté dans l’organisation. Les notions abordées sont intéressantes, mais les explications restent parfois trop rapides et les consignes ne sont pas toujours assez précises.
46;8;;;;les pofs sont nuuuuuls
45;9;;;;Les sujets abordés sont utiles pour construire un profil polyvalent en data et en intelligence artificielle.
46;9;;;;Les travaux pratiques permettent d’appliquer concrètement plusieurs notions vues en cours.
42;10;;;;so far so good
44;10;;;;Cursus assez complet
41;11;42;Xavier C.;24;
42;11;42;Xavier C.;25;
43;11;42;Xavier C.;24;
44;11;42;Xavier C.;24;
45;11;42;Xavier C.;24;
41;12;42;Xavier C.;26;
43;12;42;Xavier C.;26;
44;12;42;Xavier C.;28;
45;12;42;Xavier C.;31;
45;13;42;Xavier C.;32;
46;13;42;Xavier C.;32;
46;13;42;Xavier C.;36;
46;13;42;Xavier C.;39;
45;14;42;Xavier C.;;Beaucoup trop de charge de tavaille.
46;14;42;Xavier C.;;Je suis globalement déçu par ce cours. Je n’ai pas eu l’impression de progresser malgré le temps passé dessus.
45;15;42;Xavier C.;;Les exercices d’automatisation étaient intéressants et directement applicables.
44;16;42;Xavier C.;;Je suis très satisfait de la qualité des enseignements. Les professeurs sont disponibles, pédagogues et prennent le temps de répondre aux questions. Cela aide beaucoup à progresser.
41;11;43;Xavier C.;24;
42;11;43;Xavier C.;25;
43;11;43;Xavier C.;24;
44;11;43;Xavier C.;24;
45;11;43;Xavier C.;24;
41;12;43;Xavier C.;26;
43;12;43;Xavier C.;26;
44;12;43;Xavier C.;28;
45;12;43;Xavier C.;31;
45;13;43;Xavier C.;34;
45;13;43;Xavier C.;36;
46;13;43;Xavier C.;32;
46;13;43;Xavier C.;35;
46;13;43;Xavier C.;39;
45;14;43;Xavier C.;;Les notions sont importantes, mais elles ne sont pas toujours suffisamment expliquées.
46;14;43;Xavier C.;;Le cours manque clairement de structure. On passe d’un sujet à l’autre sans vraie logique, ce qui rend la compréhension très difficile.
45;15;43;Xavier C.;;Les cas d’usage abordés ont montré l’intérêt des architectures de services complexes.
46;15;43;Xavier C.;;Le module présente des problématiques techniques utiles pour comprendre les échanges entre services.
44;16;43;Xavier C.;;Les cours sont bien organisés et les enseignants maîtrisent très bien leurs sujets. Les supports sont utiles et les notions importantes sont bien expliquées.
41;11;41;Théo B.;24;
42;11;41;Théo B.;25;
43;11;41;Théo B.;24;
44;11;41;Théo B.;24;
45;11;41;Théo B.;24;
41;12;41;Théo B.;26;
43;12;41;Théo B.;26;
44;12;41;Théo B.;28;
45;12;41;Théo B.;31;
45;13;41;Théo B.;34;
46;13;41;Théo B.;32;
46;13;41;Théo B.;35;
46;13;41;Théo B.;39;
